question,expected_url,retrieved_top1_url,answer,expected_answer,mrr,recall@10,answer_f1,has_ending,retrieval_time,generation_time,total_time,method
What is Specially protected areas?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Madagascar,"60,000 km2 (23,000 sq mi) or 10 of Madagascar's land surface. As of 2011, areas protected by the state included five Stric (Source 2: Security Security means protecting users from other users of the same computer, as well as from those who seeking remote access to it over a network. Operating systems security rests on achieving the CIA triad: confidentiality (unauthorized users cannot access data), integrity (unauthorized user cannot modify data), and availability (ensuring that the system remains available to authorized users, Source 3: Generalized security frameworks such as SELinux or AppArmor help administrators control access. Java and other languages which compile to Java byte code and run in the Java virtual machine can have their access to other applications controlled at the virtual machine level. Some software can be run in software containers which can even provide their own set of system.",Specially protected areas cover less than 2  of the area and provide better protection for animals with popular appeal than for less visible animals,0.0,0.0,0.0,True,2.3714239597320557,12.20276403427124,14.57423996925354,dense
What is Carbon concentrating mechanisms?,https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Photosynthesis,"Some plants have evolved mechanisms to increase the CO2 concentration in the leaves under these conditions. Plants that use the C4 carbon fixation process chemically fix carbon dioxide in the cells of the mesophyll by adding it to the three-carbon molecule phosphoenolpyruvate (PEP), a reaction catalyzed by an enzyme called PEP carboxylase, creating the four-carbon organic acid oxaloacetic acid. Ox.","Carbon concentrating mechanisms On land In hot and dry conditions, plants close their stomata to prevent water loss",1.0,1.0,0.0,True,0.08237600326538086,5.7199928760528564,5.8023927211761475,dense
What is The fixation or?,https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Fixed_exchange_rate_system,"A fixed exchange rate, often called a pegged exchange rate or pegging, is a type of exchange rate regime in which a currency's value is fixed, or pegged, by a monetary authority against the value of another currency, a basket of other currencies, or another measure of value, such as gold or silver.","The fixation or reduction of carbon dioxide is a process in which carbon dioxide combines with a five-carbon sugar, ribulose 1,5-bisphosphate, to yield two molecules of a three-carbon compound, glycerate 3-phosphate, also known as 3-phosphoglycerate",0.0,0.0,0.0,True,0.07154703140258789,5.027358770370483,5.098927974700928,dense
How are Construct validity and Rank of a group related?,"['https://en.wikipedia.org/wiki/Construct_validity', 'https://en.wikipedia.org/wiki/Rank_of_a_group']",https://en.wikipedia.org/wiki/Construct_validity,"Convergent validity refers to the degree to which two measures of constructs that theoretically should be related, are in fact related. In contrast, discriminant validity tests whether concepts or measurements that are supposed to be unrelated are, in fact, un.",Information from Construct validity and Rank of a group,0.0,0.0,0.0,True,0.058619022369384766,3.246670961380005,3.305314779281616,dense
What is This product is?,https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Internet_of_things,"A method of attacking servers and other devices that accept TCP connections on the Internet and other TCP-based networks. This method depletes local resources in order to crash a service or an entire machine, essentially functioning as a denial-of-service attack.","This product is also referred to as 3-phosphoglyceraldehyde (PGAL) or, more generically, as triose phosphate",0.0,0.0,0.0,True,0.07323288917541504,3.959289073944092,4.03254508972168,dense
What is History of exploration?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Age_of_Discovery,"The Age of Discovery (c. 1418 c. 1620), also known as the Age of Exploration, was part of the early modern period and overlapped with the age of Sail. It was a period from approximately the 15th to the 17th century, during which seafarers from European countries explored, colonized, and conquered regions across the globe.","History of exploration Early world maps, like the 1513 Piri Reis map, feature the hypothetical continent Terra Australis",0.0,0.0,0.0,True,0.05940103530883789,5.1412718296051025,5.200697898864746,dense
What are the similarities between Kai yang and Biochemistry?,"['https://en.wikipedia.org/wiki/Kai_yang', 'https://en.wikipedia.org/wiki/Biochemistry']",https://en.wikipedia.org/wiki/Han_dynasty,"The school of Names focused on the use of language and on paradoxes. For example, Gongsun Long proposed the white horse paradox, which defends the thesis that a white horse is not a horse. A slightly different perspective was defended by Ramanuja (1017 1137 CE), who founded the school of Vishishtadvaita Vedanta and argued that individual entities ar.",Comparison of Kai yang and Biochemistry,0.0,0.0,0.0,True,0.06290936470031738,5.520055055618286,5.582998991012573,dense
Who is associated with The Bobby Broom Trio?,https://en.wikipedia.org/wiki/The_Bobby_Broom_Trio,https://en.wikipedia.org/wiki/The_Bobby_Broom_Trio,"Dennis Carroll and drummer, George Fludas. Source 2: Beginning with their 2006 debut as a group, Song and Dance, more evidence of their development can be heard on recordings like Bobby Broom Plays for Monk, which peaked at 2 on the JazzWeek national jazz radio airplay chart and The Way I Play, Live In Chicago. The latter of those recordings (as well as others during this period) has become influential to young, millennial jazz guitarists. Most not.","The Bobby Broom Trio is an American jazz trio based in Chicago, Illinois, that was founded by guitarist Bobby Broom in 1992. The group began under the name, Bobby Broom and the Big Deal Trio, and incl",1.0,1.0,0.0,True,0.06232285499572754,6.288848161697388,6.351198434829712,dense
Who discovered Game theory?,https://en.wikipedia.org/wiki/Game_theory,https://en.wikipedia.org/wiki/Game_theory,"Antoine Augustin Cournot in 1838 with his solution of the Cournot duopoly. The use of game theory in the social sciences has expanded, and game theory has been applied to political, sociological, and psychological behaviors as well. Although pre-twentieth-century naturalists such as Charles Darwin made game-theoretic kinds of statements, the use of g.","Game theory is the study of mathematical models of strategic interactions. It has applications in many fields of social science, and is used extensively in economics, logic, systems science and comput",1.0,1.0,0.0,True,0.06581592559814453,7.72271203994751,7.788562059402466,dense
What is the difference between Enzyme and Genetics?,"['https://en.wikipedia.org/wiki/Enzyme', 'https://en.wikipedia.org/wiki/Genetics']",https://en.wikipedia.org/wiki/Enzyme,"Two ligases of the same EC number that catalyze exactly the same reaction can have completely different sequences. Independent of their function, enzymes, like any other proteins, have been classified by their sequence similarity into numerous families. These families have been documented in dozens of different protein and protein family databases such as Pfam. Non-homologous isofunc.",Comparison of Enzyme and Genetics,0.0,0.0,0.0,True,0.058434247970581055,5.409081935882568,5.467547178268433,dense
