question,answer,mrr,recall@10,method
What is Specially protected areas?,"60,000 km2 (23,000 sq mi) or 10 of Madagascar's land surface. As of 2011, areas protected by the state included five Stric (Source 2: Security Security means protecting users from other users of the same computer, as well as from those who seeking remote access to it over a network. Operating systems security rests on achieving the CIA triad: confidentiality (unauthorized users cannot access data), integrity (unauthorized user cannot modify data), and availability (ensuring that the system remains available to authorized users, Source 3: Generalized security frameworks such as SELinux or AppArmor help administrators control access. Java and other languages which compile to Java byte code and run in the Java virtual machine can have their access to other applications controlled at the virtual machine level. Some software can be run in software containers which can even provide their own set of system.",0.0,0.0,dense
What is Carbon concentrating mechanisms?,"Some plants have evolved mechanisms to increase the CO2 concentration in the leaves under these conditions. Plants that use the C4 carbon fixation process chemically fix carbon dioxide in the cells of the mesophyll by adding it to the three-carbon molecule phosphoenolpyruvate (PEP), a reaction catalyzed by an enzyme called PEP carboxylase, creating the four-carbon organic acid oxaloacetic acid. Ox.",1.0,1.0,dense
What is The fixation or?,"this process substitution or more commonly in biology, this is called fixation . This is correctly described by the differential survival and reproduction of individuals due to differences in phenotype. On the other hand, improvement in fitness is not dependent on the difference in survival, and reproduction is dependent on a.",0.0,0.0,dense
How are Construct validity and Rank of a group related?,Construct validity concerns how well a set of indicators represents or reflects a concept that is not directly measurable. Construct validation is the accumulation of evidence to support the interpretation of what a measure reflects.,0.0,0.0,dense
What is This product is?,"a DARPA-led program designed to establish an Internet of things. (Source 1: In 2017, ARL launched the Internet of Battlefield Things Collaborative Research Alliance (IoBT-CRA), establishing a working collaboration between industry, university, and Army researchers to advance the theoretical foundations of IoT technologies and their applications to Army operations.",0.0,0.0,dense
What is History of exploration?,"The Age of Discovery (c. 1418 c. 1620), also known as the Age of Exploration, was part of the early modern period and overlapped with the age of Sail. It was a period from approximately the 15th to the 17th century, during which seafarers from European countries explored, colonized, and conquered regions across the globe.",0.0,0.0,dense
What are the similarities between Kai yang and Biochemistry?,"The study of chemical processes within and relating to living organisms. A sub-discipline of both chemistry and biology, biochemistry may be divided into three fields: structural biology, enzymology, and metabolism.",0.0,0.0,dense
Who is associated with The Bobby Broom Trio?,"Dennis Carroll and drummer, George Fludas. Source 2: Beginning with their 2006 debut as a group, Song and Dance, more evidence of their development can be heard on recordings like Bobby Broom Plays for Monk, which peaked at 2 on the JazzWeek national jazz radio airplay chart and The Way I Play, Live In Chicago. The latter of those recordings (as well as others during this period) has become influential to young, millennial jazz guitarists. Most not.",1.0,1.0,dense
Who discovered Game theory?,"Antoine Augustin Cournot in 1838 with his solution of the Cournot duopoly. The use of game theory in the social sciences has expanded, and game theory has been applied to political, sociological, and psychological behaviors as well. Although pre-twentieth-century naturalists such as Charles Darwin made game-theoretic kinds of statements, the use of g.",1.0,1.0,dense
What is the difference between Enzyme and Genetics?,"Two ligases of the same EC number that catalyze exactly the same reaction can have completely different sequences. Independent of their function, enzymes, like any other proteins, have been classified by their sequence similarity into numerous families. These families have been documented in dozens of different protein and protein family databases such as Pfam. Non-homologous isofunc.",0.0,0.0,dense
